,asset,scenario,chan,param,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
3,rb,16,0,16,1.8349652243610042,1047.0,18.115449290757656,500,-176.0,119,5.948863636363637,835.0,-201.0,0.43,43,55,43.83720930232558,-19.09090909090909
4,rb,23,1,2,1.7869523334288075,984.0,17.482856647387642,500,-243.0,183,4.049382716049383,813.0,-123.0,0.4426229508196721,27,33,54.888888888888886,-20.272727272727273
5,rb,19,0,19,1.7571756537479197,1087.0,19.64014242282315,500,-240.0,183,4.529166666666667,841.0,-167.0,0.43373493975903615,36,46,52.166666666666664,-22.543478260869566
6,rb,17,0,17,1.7156246719325166,1018.0,18.838909549813444,500,-237.0,170,4.29535864978903,800.0,-197.0,0.3979591836734694,39,56,48.97435897435897,-19.821428571428573
7,rb,9,0,9,1.7058906766568454,1019.0,18.96501779064811,500,-305.0,183,3.3409836065573773,787.0,-179.0,0.4606741573033708,41,47,46.390243902439025,-23.72340425531915
8,rb,11,0,11,1.6594953920032252,1057.0,20.22223730855533,500,-233.0,158,4.536480686695279,917.0,-149.0,0.4864864864864865,36,37,50.19444444444444,-24.054054054054053
9,rb,30,1,9,1.645923886538701,888.0,17.129058154683612,500,-362.0,183,2.453038674033149,714.0,-131.0,0.4461538461538462,29,34,53.0,-24.205882352941178
0,SR,11,0,11,1.3935702223741582,1652.0,37.63669253867163,500,-546.0,58,3.0256410256410255,1440.0,-135.0,0.582089552238806,39,28,73.97435897435898,-51.607142857142854
1,SR,32,1,11,1.309007700297253,1344.0,32.59772813800862,500,-460.0,102,2.9217391304347826,1210.0,-93.0,0.5652173913043478,26,20,87.5,-53.25
2,SR,14,0,14,1.2447826815350478,1426.0,36.37108477369393,500,-681.0,72,2.093979441997063,1074.0,-211.0,0.47619047619047616,50,55,71.68,-45.63636363636363
3,SR,10,0,10,1.242328994186018,1478.0,37.77183457252173,500,-510.0,47,2.8980392156862744,1152.0,-155.0,0.5584415584415584,43,34,69.32558139534883,-53.794117647058826
4,SR,33,1,12,1.2404856941642468,1265.0,32.37643536793803,500,-310.0,83,4.080645161290323,1120.0,-89.0,0.5454545454545454,24,20,85.70833333333333,-46.85
5,SR,12,0,12,1.2346361169625886,1508.0,38.77864503333301,500,-416.0,8,3.625,1304.0,-125.0,0.5806451612903226,36,26,72.75,-50.57692307692308
6,SR,4,0,4,1.1778319948644758,1414.0,38.11503545657162,500,-509.0,107,2.7779960707269153,1257.0,-127.0,0.6031746031746031,38,25,71.92105263157895,-59.04
7,SR,22,1,1,1.1554103042135624,1151.0,31.627826907167357,500,-355.0,86,3.2422535211267607,927.0,-117.0,0.46551724137931033,27,30,89.85185185185185,-49.96666666666667
8,SR,1,0,1,1.1449516707578353,1391.0,38.57182972191224,500,-576.0,195,2.4149305555555554,1029.0,-171.0,0.5176470588235295,44,41,73.9090909090909,-54.21951219512195
