,asset,scenario,chan,param,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
2,y,23,1,2,0.8926092178557965,1048.0,37.27607537806498,500,-492.0,133,2.130081300813008,924.0,-208.0,0.4230769230769231,22,30,114.0,-52.8
3,y,66,3,3,0.8818160987636535,990.0,35.644082274655425,500,-358.0,29,2.7653631284916202,866.0,-156.0,0.46153846153846156,18,19,116.11111111111111,-64.42105263157895
4,y,79,3,16,0.8500156124517795,912.0,34.06420061482515,500,-390.0,58,2.3384615384615386,626.0,-242.0,0.43333333333333335,26,33,94.53846153846153,-55.515151515151516
5,y,22,1,1,0.8383929090877393,964.0,36.50561787276782,500,-536.0,133,1.7985074626865671,706.0,-240.0,0.36666666666666664,22,37,114.36363636363636,-48.91891891891892
6,y,64,3,1,0.829967558044017,906.0,34.657509170218326,500,-414.0,99,2.1884057971014492,660.0,-204.0,0.4117647058823529,21,29,113.14285714285714,-59.172413793103445
7,y,53,2,11,0.7752353918009239,838.0,34.31947956124494,500,-326.0,130,2.5705521472392636,728.0,-166.0,0.4878048780487805,20,21,93.6,-54.476190476190474
8,y,30,1,9,0.7724917480892278,876.0,36.00315194395901,500,-576.0,135,1.5208333333333333,642.0,-224.0,0.375,21,34,116.57142857142857,-53.11764705882353
9,y,81,3,18,0.7723672162470193,862.0,35.4334712633626,500,-402.0,33,2.144278606965174,684.0,-206.0,0.43137254901960786,22,28,108.0,-60.42857142857143
0,p,11,0,11,0.5503561014354789,724.0,41.76620797075685,500,-1032.0,288,0.7015503875968992,408.0,-274.0,0.4411764705882353,30,38,96.06666666666666,-65.10526315789474
1,p,45,2,3,0.5208936941324042,600.0,36.570627854102895,500,-634.0,322,0.9463722397476341,384.0,-214.0,0.41509433962264153,22,31,103.54545454545455,-61.096774193548384
2,p,44,2,2,0.5017315177884748,552.0,34.92994971043541,500,-866.0,318,0.6374133949191686,268.0,-238.0,0.423728813559322,25,33,93.28,-62.54545454545455
3,p,65,3,2,0.4826960796205274,518.0,34.07110777138805,500,-844.0,213,0.6137440758293838,240.0,-238.0,0.4067796610169492,24,35,93.33333333333333,-57.142857142857146
4,p,66,3,3,0.4631149948265241,520.0,35.64878780750179,500,-652.0,406,0.7975460122699386,334.0,-206.0,0.43137254901960786,22,29,99.9090909090909,-64.27586206896552
5,p,74,3,11,0.443272615191564,498.0,35.66881709597407,500,-594.0,275,0.8383838383838383,244.0,-206.0,0.43137254901960786,22,29,96.18181818181819,-64.55172413793103
6,p,60,2,18,0.4319252074480877,478.0,35.135781053228925,500,-838.0,260,0.5704057279236276,176.0,-274.0,0.39705882352941174,27,40,88.44444444444444,-55.3
7,p,46,2,4,0.42413765274752085,486.0,36.37974970195306,500,-630.0,380,0.7714285714285715,238.0,-194.0,0.4375,21,27,95.42857142857143,-65.4074074074074
8,p,10,0,10,0.42009190653060396,554.0,41.86930155645842,500,-922.0,311,0.6008676789587852,204.0,-302.0,0.44,33,42,90.0,-65.85714285714286
9,p,67,3,4,0.3891583118383794,434.0,35.407371264748804,500,-610.0,275,0.7114754098360656,222.0,-186.0,0.45652173913043476,21,25,90.0952380952381,-66.8
0,l,23,1,2,1.5821034980962025,3405.0,68.33016847518887,500,-665.0,47,5.120300751879699,2515.0,-605.0,0.5,30,29,169.0,-88.10344827586206
1,l,65,3,2,1.4441251991020487,3020.0,66.39453945724361,500,-750.0,73,4.026666666666666,2265.0,-515.0,0.43137254901960786,22,28,218.86363636363637,-91.07142857142857
2,l,17,0,17,1.3943941696413453,3460.0,78.78087618772598,500,-710.0,90,4.873239436619718,2080.0,-1135.0,0.4336283185840708,49,64,147.55102040816325,-80.46875
3,l,69,3,6,1.3368694488588166,2880.0,68.39648059011684,500,-815.0,170,3.5337423312883436,2570.0,-305.0,0.4666666666666667,14,16,350.35714285714283,-145.9375
