,asset,scenario,param,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
6,au,13,13,0.011797433,0.25,1.3192058797,255,-18.85,128,0.0132625995,-4.6,-5.35,0.3396226415,18,35,3.3083333333,-1.8328571429
7,au,15,15,0.0095024674,0.2,1.3102485836,255,-16.7,216,0.0119760479,-5.25,-6.65,0.3636363636,24,42,2.5729166667,-1.5952380952
8,au,17,17,-0.0116883401,-0.25,1.3315186624,255,-17.35,152,-0.0144092219,-5.9,-6.25,0.3064516129,19,43,3.1394736842,-1.5244186047
9,au,16,16,-0.0332879156,-0.7,1.3090960974,255,-18.9,152,-0.037037037,-6.25,-6.45,0.328125,21,43,2.8238095238,-1.5244186047
0,pp,14,14,3.1310689454,2601,51.7139619278,255,-272,88,9.5625,1877,-81,0.6,24,16,125.625,-71.125
1,pp,15,15,2.5309485513,2406,59.1796504965,255,-580,107,4.1482758621,1698,-73,0.5555555556,20,16,147.7,-78.5
2,pp,11,11,2.2435710823,2360,65.4835566116,255,-652,81,3.6196319018,1758,-49,0.5833333333,14,10,196.6428571429,-99.5
3,pp,8,8,2.2261346071,2223,62.1653139794,255,-443,70,5.0180586907,1491,-65,0.65625,21,11,137.0952380952,-126.1818181818
4,pp,16,16,2.2167034678,2123,59.6214430694,255,-514,107,4.1303501946,1406,-71,0.5714285714,20,15,136.7,-88.5333333333
5,pp,12,12,2.0913571015,2322,69.1184690263,255,-695,81,3.3410071942,1678,-47,0.5652173913,13,10,219.5384615385,-117.6
6,pp,4,4,2.0866876017,2245,66.9759680745,255,-795,81,2.8238993711,1579,-47,0.5217391304,12,11,222.25,-98.9090909091
7,pp,17,17,2.066493671,1987,59.8582309483,255,-531,107,3.7419962335,1211,-67,0.5757575758,19,14,134.4736842105,-96
8,pp,0,0,2.020539888,2002,61.6817568091,255,-506,107,3.9565217391,1340,-69,0.5882352941,20,14,137.7,-101
9,pp,7,7,2.0181285365,1924,59.3494002044,255,-384,107,5.0104166667,1430,-77,0.6052631579,23,15,125.9130434783,-97.7333333333
0,l,6,6,2.0042836423,2545,79.0476010772,255,-540,93,4.712962963,2370,-165,0.4375,7,9,476.4285714286,-107.2222222222
1,l,5,5,1.7654333916,2000,70.5242942865,255,-440,14,4.5454545455,1760,-195,0.4736842105,9,10,316.6666666667,-109
2,l,13,13,1.6714289092,1850,68.9039166507,255,-455,142,4.0659340659,1665,-205,0.5,10,10,282,-115.5
3,l,18,18,1.5455848086,1915,77.1322549004,255,-605,117,3.1652892562,1530,-315,0.4516129032,14,17,216.4285714286,-88.2352941176
4,l,17,17,1.4667647829,1720,73.0008745329,255,-490,1,3.5102040816,1190,-365,0.4722222222,17,19,156.7647058824,-77.6315789474
5,l,12,12,1.4632934611,1615,68.7070314304,255,-445,28,3.6292134831,1285,-235,0.4347826087,10,13,266,-105.7692307692
6,l,4,4,1.3873474781,1555,69.7758658336,255,-560,91,2.7767857143,1255,-245,0.4166666667,10,14,268.5,-102.1428571429
7,l,2,2,1.3669604349,1685,76.736864641,255,-890,117,1.893258427,1235,-295,0.4482758621,13,15,221.1538461538,-109.3333333333
8,l,20,20,1.2915106088,1675,80.7378022532,255,-905,111,1.8508287293,1270,-275,0.3703703704,10,17,275,-87.0588235294
9,l,1,1,1.2869580598,1465,70.8652495098,255,-570,22,2.5701754386,1135,-345,0.4705882353,16,18,163.75,-82.5
