,asset,scenario,chan,param,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
4,SR,31,1,10,1.5641461931902718,850.0,33.82997475022779,255,-234.0,72,3.6324786324786325,652.0,-57.0,0.5714285714285714,16,11,78.6875,-55.18181818181818
5,SR,3,0,3,1.5277920695708613,898.0,36.590822790562534,255,-231.0,34,3.8874458874458875,722.0,-59.0,0.5862068965517241,17,12,73.47058823529412,-43.916666666666664
6,SR,32,1,11,1.5188337791165518,825.0,33.8145639284761,255,-221.0,36,3.733031674208145,733.0,-49.0,0.625,15,8,83.66666666666667,-65.25
7,SR,9,0,9,1.4991142777327822,849.0,35.256000182454265,255,-261.0,34,3.2528735632183907,632.0,-69.0,0.5,17,15,81.23529411764706,-49.93333333333333
8,SR,12,0,12,1.457915090426025,857.0,36.59389862675559,255,-273.0,44,3.139194139194139,758.0,-51.0,0.56,14,9,87.64285714285714,-52.111111111111114
9,SR,33,1,12,1.3627500370759753,763.0,34.85526792355126,255,-244.0,34,3.127049180327869,678.0,-45.0,0.5909090909090909,13,8,87.23076923076923,-57.0
0,TA,34,1,13,0.7855319374792622,596.0,47.232670699539604,255,-480.0,133,1.2416666666666667,416.0,-78.0,0.5263157894736842,10,9,110.4,-76.44444444444444
1,TA,35,1,14,0.7492246827571436,528.0,43.87144468901652,255,-432.0,58,1.2222222222222223,252.0,-200.0,0.46,23,27,83.73913043478261,-62.0
2,TA,22,1,1,0.7026758125769459,522.0,46.246150522673965,255,-424.0,78,1.2311320754716981,384.0,-124.0,0.4838709677419355,15,16,105.2,-74.625
3,TA,29,1,8,0.7000767031990746,516.0,45.88430584554245,255,-414.0,78,1.2463768115942029,354.0,-136.0,0.5,17,17,88.82352941176471,-68.0
4,TA,28,1,7,0.6772536059062664,486.0,44.67299124039107,255,-450.0,29,1.08,308.0,-152.0,0.4473684210526316,17,20,99.41176470588235,-69.1
5,TA,27,1,6,0.6021824197328524,448.0,46.31375900942882,255,-414.0,100,1.0821256038647342,204.0,-70.0,0.47058823529411764,8,9,112.25,-77.11111111111111
6,TA,37,1,16,0.5774206623752456,420.0,45.28110951722252,255,-460.0,22,0.9130434782608695,260.0,-148.0,0.4594594594594595,17,20,101.88235294117646,-73.6
7,TA,33,1,12,0.5591776773916142,422.0,46.981049596105954,255,-664.0,133,0.6355421686746988,300.0,-94.0,0.43478260869565216,10,12,123.0,-77.5
