,asset,scenario,chan,param,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
5,a,29,4,5,-0.35146337177311293,-1434.0,87.76330887685947,738,-2624.0,998,-0.5464939024390244,-1649.0,-220.0,0.28440366972477066,31,77,84.29032258064517,-55.35064935064935
6,a,20,3,2,-0.429225771516894,-486.0,24.355350723116537,738,-728.0,827,-0.6675824175824175,-581.0,-87.0,0.3023255813953488,13,30,77.53846153846153,-52.96666666666667
7,a,28,4,4,-0.4312470011403425,-1371.0,68.38412200530452,738,-2248.0,998,-0.6098754448398577,-1533.0,-174.0,0.26744186046511625,23,63,87.47826086956522,-56.26984126984127
8,a,10,1,4,-0.4328551083641419,-1361.0,67.6331299829964,738,-1986.0,1005,-0.6852970795568983,-1623.0,-274.0,0.3014705882352941,41,94,77.6829268292683,-51.148936170212764
9,a,7,1,1,-0.47288473908166406,-1036.0,47.124674696309235,738,-1618.0,975,-0.6402966625463535,-1298.0,-266.0,0.2196969696969697,29,102,76.51724137931035,-34.48039215686274
0,rb,8,1,2,1.1495286609838136,1355.0,25.354987446147966,738,-592.0,117,2.2888513513513513,1204.0,-101.0,0.46,23,27,109.43478260869566,-48.629629629629626
1,rb,10,1,4,1.1372788013819917,3451.0,65.27124908371547,738,-1361.0,145,2.535635562086701,3094.0,-241.0,0.42857142857142855,51,68,119.50980392156863,-44.13235294117647
2,rb,7,1,1,1.1272564572128372,2336.0,44.57527336876391,738,-1025.0,145,2.2790243902439022,2018.0,-226.0,0.32142857142857145,36,76,122.58333333333333,-31.513157894736842
3,rb,11,1,5,1.1246081836344552,4484.0,85.76464079179651,738,-1752.0,145,2.5593607305936072,4020.0,-312.0,0.4155844155844156,64,89,122.3125,-42.78651685393258
4,rb,9,1,3,1.1227124628867844,2385.0,45.694480931324236,738,-937.0,173,2.545357524012807,2126.0,-174.0,0.4418604651162791,38,48,112.47368421052632,-44.75
5,rb,29,4,5,1.0892148621846838,4392.0,86.73466020418844,738,-1512.0,170,2.9047619047619047,3556.0,-176.0,0.4069767441860465,35,51,179.74285714285713,-53.627450980392155
6,rb,28,4,4,1.0288694694142597,3174.0,66.3575817526116,738,-1250.0,173,2.5392,2524.0,-139.0,0.4117647058823529,28,40,170.78571428571428,-56.45
7,rb,14,2,2,1.022448691277172,1126.0,23.68867533223586,738,-551.0,170,2.043557168784029,991.0,-85.0,0.47619047619047616,20,22,103.5,-49.04545454545455
8,rb,27,4,3,1.0075963142472266,2167.0,46.261131364632334,738,-976.0,218,2.2202868852459017,1642.0,-98.0,0.4166666666666667,20,28,166.35,-60.17857142857143
9,rb,17,2,5,0.9908077051067935,3666.0,79.5878905333924,738,-1343.0,119,2.7297096053611316,3258.0,-262.0,0.4418604651162791,57,72,112.0701754385965,-43.47222222222222
0,SR,4,0,4,0.25786587056534044,938.0,86.05710319645696,671,-1459.0,703,0.6429061000685401,163.0,-263.0,0.3923076923076923,51,77,109.43137254901961,-70.36363636363636
1,SR,10,1,4,0.1209972124887054,539.0,105.38799694311463,671,-2367.0,342,0.22771440642163077,-261.0,-227.0,0.4017857142857143,45,67,115.77777777777777,-81.65671641791045
2,SR,2,0,2,0.09357090729287086,152.0,38.43089490627784,671,-678.0,314,0.22418879056047197,-178.0,-125.0,0.41935483870967744,26,36,98.46153846153847,-76.05555555555556
3,SR,26,4,2,0.07257859831293036,130.0,42.37527464289771,671,-1118.0,310,0.11627906976744186,-130.0,-55.0,0.37037037037037035,10,17,171.5,-108.52941176470588
4,SR,0,0,0,0.06701810446798265,104.0,36.71292181265782,671,-711.0,705,0.14627285513361463,-240.0,-139.0,0.37681159420289856,26,43,95.42307692307692,-63.27906976744186
5,SR,3,0,3,0.06467383771711827,176.0,64.38160296309722,671,-1250.0,187,0.1408,-382.0,-198.0,0.40816326530612246,40,58,102.575,-77.32758620689656
6,SR,28,4,4,0.005082346258927394,22.0,102.40854149521394,671,-2046.0,556,0.010752688172043012,-616.0,-139.0,0.27941176470588236,19,49,192.0,-87.0204081632653
7,SR,5,0,5,-0.05818703223355907,-259.0,105.30556127903444,671,-2129.0,703,-0.12165335838421794,-1247.0,-344.0,0.38235294117647056,65,105,101.43076923076923,-74.66666666666667
8,SR,22,3,4,-0.06534024289659052,-252.0,91.24257777350678,671,-2262.0,645,-0.11140583554376658,-916.0,-165.0,0.32098765432098764,26,54,133.8846153846154,-81.42592592592592
9,SR,20,3,2,-0.07913183961717096,-123.0,36.77321488418074,671,-998.0,609,-0.12324649298597194,-399.0,-71.0,0.3142857142857143,11,23,140.72727272727272,-84.65217391304348
0,TA,17,2,5,1.0316466333437428,9152.0,191.86212783470245,734,-4172.0,178,2.193672099712368,8750.0,-474.0,0.4358974358974359,51,64,344.8627450980392,-138.09375
1,TA,15,2,3,0.9825469477983192,4662.0,102.61791084069567,734,-2140.0,178,2.1785046728971964,4438.0,-272.0,0.40298507462686567,27,39,358.44444444444446,-134.35897435897436
2,TA,16,2,4,0.9800343878348344,6666.0,147.10526108251693,734,-3094.0,178,2.154492566257272,6302.0,-380.0,0.4148936170212766,39,55,350.4102564102564,-133.8909090909091
3,TA,22,3,4,0.9472526006715161,6130.0,139.95837089785383,734,-2740.0,178,2.2372262773722627,5796.0,-348.0,0.43023255813953487,37,49,324.7567567567568,-126.93877551020408
4,TA,28,4,4,0.9439367242861907,6974.0,159.78767246252966,734,-2748.0,178,2.537845705967977,6704.0,-284.0,0.42857142857142855,30,40,410.4,-140.2
5,TA,21,3,3,0.8888622125558499,4052.0,98.59143852774054,734,-2000.0,196,2.026,3842.0,-252.0,0.41935483870967744,26,35,323.84615384615387,-130.8
6,TA,20,3,2,0.8869044972482238,2314.0,56.427486820432094,734,-1048.0,178,2.2080152671755724,2146.0,-146.0,0.3888888888888889,14,22,353.7142857142857,-127.54545454545455
7,TA,23,3,5,0.884429681297896,7558.0,184.81949917726175,734,-4048.0,178,1.867094861660079,7178.0,-450.0,0.43243243243243246,48,62,320.5,-132.3548387096774
8,TA,29,4,5,0.8743578625242309,8584.0,212.3267438804769,734,-4104.0,178,2.091617933723197,8276.0,-378.0,0.43010752688172044,40,53,397.65,-143.96226415094338
9,TA,18,3,0,0.870489128030864,2182.0,54.21202193259643,734,-1364.0,178,1.599706744868035,1990.0,-170.0,0.3333333333333333,14,28,347.42857142857144,-102.64285714285714
0,MA,1,0,1,1.6006221293845033,400.0,42.203025975751444,94,-433.0,79,0.9237875288683602,166.0,-26.0,0.4166666666666667,5,7,83.6,-36.0
1,MA,5,0,5,1.3224357608258042,581.0,74.19488472730451,94,-752.0,79,0.7726063829787234,211.0,-38.0,0.4117647058823529,7,10,97.14285714285714,-46.9
2,MA,7,1,1,1.2836913636811973,353.0,46.439389605014135,94,-470.0,79,0.7510638297872341,121.0,-24.0,0.36363636363636365,4,7,93.75,-36.285714285714285
3,MA,4,0,4,1.203044277499172,405.0,56.85201060284422,94,-636.0,79,0.6367924528301887,123.0,-33.0,0.3333333333333333,5,10,105.2,-40.3
4,MA,3,0,3,1.0726737641846051,259.0,40.77599076681437,94,-495.0,79,0.5232323232323233,49.0,-24.0,0.36363636363636365,4,7,96.75,-48.285714285714285
5,MA,0,0,0,0.9782926261405787,137.0,23.649622013218483,94,-309.0,79,0.44336569579288027,7.0,-17.0,0.375,3,5,81.33333333333333,-47.4
6,MA,6,1,0,0.8152691888277486,123.0,25.478655032675466,94,-317.0,79,0.38801261829652994,-5.0,-15.0,0.42857142857142855,3,4,70.33333333333333,-54.0
7,MA,10,1,4,0.8029909183939998,304.0,63.93451379692959,94,-723.0,79,0.42047026279391425,24.0,-31.0,0.35714285714285715,5,9,97.0,-51.22222222222222
8,MA,2,0,2,0.7688501871784356,109.0,23.941821595742294,94,-337.0,79,0.32344213649851633,-21.0,-17.0,0.375,3,5,81.33333333333333,-53.0
9,MA,11,1,5,0.7612974068236789,355.0,78.74924874266262,94,-974.0,99,0.364476386036961,-15.0,-38.0,0.35294117647058826,6,11,102.83333333333333,-57.45454545454545
0,i,12,2,0,1.3858427123721795,302.0,7.162194986032315,483,-72.5,114,4.165517241379311,245.5,-27.5,0.4444444444444444,12,14,30.833333333333332,-8.892857142857142
1,i,14,2,2,1.317535117846192,289.5,7.221701075120131,483,-68.0,21,4.257352941176471,235.0,-25.5,0.48,12,12,30.833333333333332,-11.25
