,asset,scenario,rsi_trigger,rsi_len,atr_period,atrma_period,stoploss,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
12,hc,32,0,1,0,0,4,0.801435514363,1271.0,60.22834862,418,-424.0,21,2.99764150943,1271.0,182.0,0.461538461538,42,49,106.071428571,-64.9795918367
13,hc,88,1,0,0,0,4,0.796902470205,1276.0,60.8092280109,418,-485.0,24,2.63092783505,1276.0,188.0,0.478723404255,45,49,104.244444444,-69.693877551
14,hc,1,0,0,0,0,1,0.744928892562,625.0,31.8631851355,418,-275.0,26,2.27272727273,625.0,824.0,0.400485436893,165,247,32.3696969697,-19.0931174089
15,hc,289,3,1,0,1,2,0.743502281853,87.0,4.44386580267,418,-39.0,1,2.23076923077,87.0,14.0,0.714285714286,5,2,31.6,-35.5
16,hc,38,0,1,0,1,3,0.73107792465,915.0,47.5314882221,418,-385.0,30,2.37662337662,915.0,222.0,0.369369369369,41,70,99.6829268293,-45.3142857143
17,hc,179,2,0,0,1,4,0.723865995403,1038.0,54.458185459,418,-490.0,57,2.11836734694,1038.0,142.0,0.464788732394,33,38,106.484848485,-65.1578947368
18,hc,186,2,0,1,0,4,0.700830286573,1023.0,55.4353457553,418,-499.0,57,2.0501002004,1023.0,144.0,0.458333333333,33,39,105.393939394,-62.9487179487
19,hc,5,0,0,0,0,5,0.668934368189,1144.0,64.9481079088,418,-889.0,137,1.28683914511,1144.0,160.0,0.4625,37,43,130.810810811,-85.9534883721
20,hc,43,0,1,1,0,1,0.654119003712,427.0,24.7910600339,418,-224.0,39,1.90625,427.0,590.0,0.416949152542,123,172,28.5772357724,-17.9534883721
21,hc,19,0,0,1,0,5,0.639959587979,1098.0,65.158905189,418,-736.0,21,1.49184782609,1098.0,154.0,0.454545454545,35,42,137.257142857,-88.2380952381
22,hc,26,0,0,1,1,5,0.607021591606,1061.0,66.3796920702,418,-552.0,193,1.92210144928,1061.0,154.0,0.415584415584,32,45,139.3125,-75.4888888889
23,hc,94,1,0,0,1,3,0.592163967752,762.0,48.8693972181,418,-413.0,30,1.84503631961,762.0,234.0,0.401709401709,47,70,89.9787234043,-49.5285714286
24,hc,67,0,2,0,1,4,0.584066418426,809.0,52.6029709837,418,-675.0,57,1.19851851852,809.0,134.0,0.432835820896,29,38,114.896551724,-66.3947368421
25,hc,81,0,2,1,1,4,0.564195201424,782.0,52.6382392376,418,-683.0,57,1.14494875549,782.0,134.0,0.417910447761,28,39,117.214285714,-64.1025641026
26,hc,301,3,1,1,1,0,0.561822157513,41.0,2.7714623437,418,-17.0,1,2.41176470588,41.0,28.0,0.428571428571,6,8,23.1666666667,-12.25
27,hc,52,0,1,1,1,3,0.559124357339,711.0,48.2931103521,418,-463.0,122,1.53563714903,711.0,226.0,0.371681415929,42,71,92.8333333333,-44.9014084507
28,hc,33,0,1,0,0,5,0.538413897394,903.0,63.6935532912,418,-1010.0,149,0.894059405941,903.0,148.0,0.459459459459,34,40,129.294117647,-87.325
29,hc,12,0,0,0,1,5,0.533664859694,925.0,65.8259468322,418,-730.0,21,1.26712328767,925.0,158.0,0.405063291139,32,47,143.4375,-77.9787234043
0,i,279,3,0,1,1,6,1.3258029264,380.0,10.8850044756,418,-105.0,72,3.61904761905,380.0,24.0,0.666666666667,16,8,36.65625,-25.8125
1,i,46,0,1,1,0,4,1.1615727089,375.0,12.2605190539,418,-112.5,17,3.33333333333,375.0,76.0,0.513157894737,39,37,23.2564102564,-14.3783783784
2,i,18,0,0,1,0,4,1.14425623999,424.0,14.0723476551,418,-125.5,39,3.37848605578,424.0,96.0,0.447916666667,43,53,28.3255813953,-14.9811320755
3,i,272,3,0,1,0,6,1.08726484917,314.5,10.9852334511,418,-100.5,72,3.12935323383,314.5,25.0,0.64,16,9,34.0,-25.5
4,i,265,3,0,0,1,6,1.07763743626,312.0,10.9952703607,418,-105.5,72,2.95734597156,312.0,25.0,0.64,16,9,34.0,-25.7777777778
5,i,32,0,1,0,0,4,1.07596984207,348.5,12.3006106551,418,-114.5,17,3.04366812227,348.5,79.0,0.506329113924,40,39,22.3,-13.9358974359
6,i,4,0,0,0,0,4,1.06371541536,393.5,14.0489307644,418,-125.0,39,3.148,393.5,98.0,0.459183673469,45,53,26.3555555556,-14.9528301887
7,i,195,2,0,1,1,6,1.06127916868,354.0,12.6676953662,418,-118.0,23,3.0,354.0,39.0,0.564102564103,22,17,33.9090909091,-23.0588235294
8,i,104,1,0,1,0,6,1.0218839795,358.0,13.3047103647,418,-125.5,36,2.85258964143,358.0,47.0,0.489361702128,23,24,34.3260869565,-17.9791666667
9,i,13,0,0,0,1,6,1.00223458854,360.0,13.6413421698,418,-179.0,18,2.01117318436,360.0,49.0,0.469387755102,23,26,37.8913043478,-19.6730769231
10,i,216,2,1,1,0,6,0.980588099967,269.5,10.4374916156,418,-134.5,91,2.00371747212,269.5,23.0,0.652173913043,15,8,30.5,-23.5
11,i,251,2,2,1,1,6,0.957988554246,157.5,6.24373161041,418,-55.0,58,2.86363636364,157.5,10.0,0.6,6,4,37.4166666667,-16.75
12,i,17,0,0,1,0,3,0.952687958939,315.5,12.5768730154,418,-131.0,40,2.40839694656,315.5,147.0,0.421768707483,62,85,20.3548387097,-11.1352941176
13,i,223,2,1,1,1,6,0.947086033282,256.5,10.2854175221,418,-136.5,91,1.87912087912,256.5,23.0,0.652173913043,15,8,30.7333333333,-25.5625
14,i,97,1,0,0,1,6,0.932577984025,325.0,13.2349465289,418,-124.5,36,2.61044176707,325.0,47.0,0.468085106383,22,25,35.75,-18.46
15,i,153,1,2,0,1,6,0.930153438219,264.0,10.7788721261,418,-130.0,91,2.03076923077,264.0,26.0,0.615384615385,16,10,29.3125,-20.5
16,i,209,2,1,0,1,6,0.903313651018,250.5,10.5315706473,418,-138.0,91,1.8152173913,250.5,24.0,0.666666666667,16,8,28.59375,-25.875
17,i,160,1,2,1,0,6,0.901072907836,255.0,10.747420392,418,-126.5,91,2.01581027668,255.0,26.0,0.576923076923,15,11,31.2666666667,-19.4545454545
18,i,102,1,0,1,0,4,0.899832967736,309.5,13.0623928607,418,-102.0,17,3.03431372549,309.5,82.0,0.487804878049,40,42,23.8875,-15.380952381
19,i,111,1,0,1,1,6,0.894027109308,313.0,13.2958968808,418,-139.5,23,2.24372759857,313.0,47.0,0.468085106383,22,25,36.0681818182,-19.22
20,i,167,1,2,1,1,6,0.883885548458,246.0,10.5697097737,418,-128.5,91,1.91439688716,246.0,26.0,0.576923076923,15,11,31.5,-20.5909090909
21,i,335,3,2,1,1,6,0.823240689438,50.5,2.32963852212,418,-40.0,232,1.2625,50.5,3.0,0.666666666667,2,1,37.0,-23.5
22,i,139,1,1,1,1,6,0.79116326944,256.0,12.2884706753,418,-121.0,23,2.11570247934,256.0,40.0,0.475,19,21,36.5263157895,-20.8571428571
23,i,3,0,0,0,0,3,0.787882504078,263.5,12.701153117,418,-125.0,40,2.108,263.5,153.0,0.398692810458,61,92,20.8032786885,-10.9293478261
24,i,39,0,1,0,1,4,0.770143047556,250.0,12.3279992162,418,-112.0,17,2.23214285714,250.0,78.0,0.474358974359,37,41,23.3783783784,-15.0
25,i,88,1,0,0,0,4,0.764224469485,262.5,13.0446477821,418,-104.0,17,2.52403846154,262.5,85.0,0.470588235294,40,45,23.5125,-15.0666666667
26,i,255,3,0,0,0,3,0.76136860034,138.5,6.9084210681,418,-74.0,36,1.87162162162,138.5,32.0,0.46875,15,17,21.6333333333,-10.9411764706
27,i,6,0,0,0,0,6,0.757422836947,271.5,13.6130496096,418,-219.5,72,1.23690205011,271.5,54.0,0.462962962963,25,29,33.5,-19.5172413793
28,i,27,0,0,1,1,6,0.754735304149,272.5,13.7118429329,418,-211.5,72,1.28841607565,272.5,50.0,0.48,24,26,35.6666666667,-22.4423076923
29,i,20,0,0,1,0,6,0.749691851062,271.5,13.7534303464,418,-193.5,72,1.40310077519,271.5,51.0,0.470588235294,24,27,35.2291666667,-21.2592592593
0,j,146,1,2,0,0,6,1.71680411104,1310.0,28.9784091299,418,-395.0,177,3.3164556962,1310.0,27.0,0.592592592593,16,11,121.0,-56.9090909091
1,j,46,0,1,1,0,4,1.70213251516,1635.5,36.4906138452,418,-427.0,70,3.83021077283,1635.5,84.0,0.464285714286,39,45,87.1282051282,-39.1666666667
2,j,166,1,2,1,1,5,1.60979191817,1192.0,28.120983223,418,-345.5,177,3.4500723589,1192.0,31.0,0.516129032258,16,15,116.03125,-44.3
3,j,32,0,1,0,0,4,1.55821283503,1468.0,35.7785937432,418,-540.5,71,2.71600370028,1468.0,87.0,0.448275862069,39,48,86.5384615385,-39.7291666667
4,j,145,1,2,0,0,5,1.53741001578,1073.0,26.5053781431,418,-200.0,114,5.365,1073.0,31.0,0.516129032258,16,15,100.375,-35.5333333333
5,j,12,0,0,0,1,5,1.5173185712,1652.0,41.3482618781,418,-430.0,71,3.84186046512,1652.0,74.0,0.486486486486,36,38,93.6944444444,-45.2894736842
6,j,160,1,2,1,0,6,1.51700633534,1223.5,30.6295465777,418,-536.5,177,2.28052190121,1223.5,27.0,0.518518518519,14,13,140.25,-56.9230769231
7,j,222,2,1,1,1,5,1.50253147299,1114.5,28.1695872528,418,-466.0,170,2.39163090129,1114.5,28.0,0.535714285714,15,13,118.933333333,-51.5
8,j,167,1,2,1,1,6,1.48401319995,1205.5,30.8498771849,418,-529.0,177,2.27882797732,1205.5,27.0,0.407407407407,11,16,181.454545455,-49.40625
9,j,278,3,0,1,1,5,1.47630464196,1117.0,28.7343367023,418,-458.0,170,2.43886462882,1117.0,31.0,0.548387096774,17,14,111.411764706,-55.5
10,j,153,1,2,0,1,6,1.44410307844,1168.0,30.7162813989,418,-581.0,177,2.01032702238,1168.0,27.0,0.444444444444,12,15,161.958333333,-51.7
11,j,74,0,2,1,0,4,1.43657109526,1197.0,31.6439737169,418,-397.0,73,3.01511335013,1197.0,65.0,0.507692307692,33,32,74.0,-38.90625
12,j,5,0,0,0,0,5,1.43418779595,1554.0,41.149918602,418,-412.5,18,3.76727272727,1554.0,79.0,0.481012658228,38,41,94.1710526316,-49.3780487805
13,j,53,0,1,1,1,4,1.40525434791,1334.0,36.0516279478,418,-405.0,70,3.29382716049,1334.0,86.0,0.46511627907,40,46,81.575,-41.9347826087
14,j,60,0,2,0,0,4,1.39762628454,1128.0,30.6508151271,418,-390.5,73,2.88860435339,1128.0,66.0,0.5,33,33,73.2575757576,-39.0757575758
15,j,19,0,0,1,0,5,1.3788282078,1515.0,41.7278935601,418,-491.0,116,3.08553971487,1515.0,77.0,0.467532467532,36,41,96.2777777778,-47.5853658537
16,j,201,2,1,0,0,5,1.37701189138,963.5,26.572842714,418,-312.5,170,3.0832,963.5,29.0,0.48275862069,14,15,110.75,-39.1333333333
17,j,88,1,0,0,0,4,1.3762844155,1330.0,36.7001160427,418,-613.5,64,2.16788916055,1330.0,95.0,0.421052631579,40,55,86.75,-38.9090909091
18,j,159,1,2,1,0,5,1.37005096719,973.0,26.9711898021,418,-286.5,114,3.39616055846,973.0,32.0,0.53125,17,15,95.1764705882,-43.0
19,j,83,0,2,1,1,6,1.36587976055,1386.5,38.5506222801,418,-513.5,127,2.70009737098,1386.5,44.0,0.431818181818,19,25,139.631578947,-50.66
20,j,4,0,0,0,0,4,1.36144201056,1396.5,38.9552307282,418,-549.5,64,2.54140127389,1396.5,111.0,0.405405405405,45,66,85.8444444444,-37.3712121212
21,j,39,0,1,0,1,4,1.36014686947,1301.5,36.3397851049,418,-466.5,70,2.7899249732,1301.5,88.0,0.443181818182,39,49,84.6025641026,-40.7755102041
22,j,202,2,1,0,0,6,1.35372636514,1046.5,29.3583966646,418,-615.5,170,1.70024370431,1046.5,26.0,0.5,13,13,143.346153846,-62.8461538462
23,j,81,0,2,1,1,4,1.3512026583,1073.5,30.172100554,418,-340.0,81,3.15735294118,1073.5,65.0,0.492307692308,32,33,72.234375,-37.5151515152
24,j,152,1,2,0,1,5,1.33926508784,964.5,27.3501475018,418,-313.5,177,3.07655502392,964.5,32.0,0.5625,18,14,89.6944444444,-46.4285714286
25,j,33,0,1,0,0,5,1.33517703439,1391.0,39.5650997435,418,-481.5,71,2.88888888889,1391.0,72.0,0.444444444444,32,40,101.875,-46.725
26,j,144,1,2,0,0,4,1.33046893487,766.0,21.8649263896,418,-153.5,128,4.99022801303,766.0,34.0,0.558823529412,19,15,65.7631578947,-32.2333333333
27,j,47,0,1,1,0,5,1.32830391104,1399.5,40.0128457631,418,-514.0,71,2.72276264591,1399.5,71.0,0.43661971831,31,40,104.580645161,-46.0625
28,j,82,0,2,1,1,5,1.3212384454,1242.5,35.7140566947,418,-557.5,130,2.22869955157,1242.5,55.0,0.436363636364,24,31,111.791666667,-46.4677419355
29,j,26,0,0,1,1,5,1.31997594504,1451.5,41.7613964001,418,-603.0,129,2.40713101161,1451.5,73.0,0.452054794521,33,40,104.893939394,-50.25
0,jm,202,2,1,0,0,6,1.01325395029,455.5,17.0723798258,418,-174.5,205,2.61031518625,455.5,15.0,0.333333333333,5,10,143.8,-26.35
1,jm,286,3,1,0,0,6,0.972479530495,379.5,14.8202421644,418,-163.0,288,2.3282208589,379.5,7.0,0.285714285714,2,5,266.0,-30.5
2,jm,216,2,1,1,0,6,0.945256041831,430.5,17.2960798844,418,-178.5,205,2.41176470588,430.5,15.0,0.266666666667,4,11,174.25,-24.2272727273
3,jm,300,3,1,1,0,6,0.896485472379,356.0,15.081020504,418,-183.0,288,1.94535519126,356.0,7.0,0.285714285714,2,5,257.5,-31.8
4,jm,209,2,1,0,1,6,0.891301324619,413.5,17.6187442122,418,-189.5,177,2.18205804749,413.5,15.0,0.333333333333,5,10,141.6,-29.45
